"id","codigo","codigoprograma","titulo","created_at","updated_at","ano","codigoesfera","codigofuncao","codigosubfuncao","nomeesfera","nomefuncao","nomeorgao","nomesubfuncao","codigoorgao"
86821,"00014","212",Pagamento de Concessão do Pasep - DETRAN.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,DEPARTAMENTO ESTADUAL DE TRÂNSITO,ADMINISTRAÇÃO GERAL,"08200003"
86822,"00015","212",Pagamento de Concessão do Pasep - SOP.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","26","122","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,ADMINISTRAÇÃO GERAL,"43200007"
86823,"00019","212",Repasse Financeiro para o Plano de Custeio do ISSEC.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,FUNDO DE ASSISTÊNCIA A SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO CEARÁ,ADMINISTRAÇÃO GERAL,"46200008"
86824,"00021","212",Pagamento de Indenizações e Restituições referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - SCIDADES.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","15","451","01 - FISCAL",URBANISMO,SECRETARIA DAS CIDADES,INFRA-ESTRUTURA URBANA,"43000000"
86825,"00022","212",DEVOLUÇÃO DE RECURSOS DE CONVÊNIOS E CONTRATOS DE FINANCIAMENTO - SCIDADES.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","15","451","01 - FISCAL",URBANISMO,SECRETARIA DAS CIDADES,INFRA-ESTRUTURA URBANA,"43000000"
86826,"00024","212",Devolução de Recursos de Convênios e Contratos de Financiamento - URCA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","12","364","01 - FISCAL",EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE REGIONAL DO CARIRI,ENSINO SUPERIOR,"31200003"
86827,"00027","212",Cumprimento de Sentenças / Débitos Judiciais - SOP.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","26","122","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,ADMINISTRAÇÃO GERAL,"43200007"
86828,"00028","212",Pagamentos de Precatórios Judiciários - SOP.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","26","122","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,ADMINISTRAÇÃO GERAL,"43200007"
86829,"00029","212",Restituição de Pequenos Valores - SOP.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","26","122","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,ADMINISTRAÇÃO GERAL,"43200007"
86830,"00030","212",Devolução de Recursos de Convênios e Contratos de Financiamento - SEINFRA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DA INFRAESTRUTURA,ADMINISTRAÇÃO GERAL,"08000000"
86831,"00031","212",Pagamento de Indenizações e Restituições referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - SEINFRA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DA INFRAESTRUTURA,ADMINISTRAÇÃO GERAL,"08000000"
86832,"00032","212",Devolução de Recursos de Convênios e Contratos de Financiamento - FUNCEME.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,FUNDAÇÃO CEARENSE DE METEOROLOGIA E RECURSOS HÍDRICOS,ADMINISTRAÇÃO GERAL,"29200007"
86833,"00033","212",Pagamento de Sentenças / Débitos Judiciais - FUNCEME.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,FUNDAÇÃO CEARENSE DE METEOROLOGIA E RECURSOS HÍDRICOS,ADMINISTRAÇÃO GERAL,"29200007"
86834,"00034","212",Pagamento de Indenizações e Restituições referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - FUNCEME.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,FUNDAÇÃO CEARENSE DE METEOROLOGIA E RECURSOS HÍDRICOS,ADMINISTRAÇÃO GERAL,"29200007"
86835,"00035","212",Pagamento de Concessão de Pasep - IPECE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,INSTITUTO DE PESQUISA E ESTRATÉGIA ECONÔMICA DO CEARÁ,ADMINISTRAÇÃO GERAL,"46200003"
86836,"00040","212",Pagamento de Sentenças / Débitos Judiciais - UVA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","12","122","01 - FISCAL",EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE VALE DO ACARAÚ,ADMINISTRAÇÃO GERAL,"31200002"
86837,"00041","212",Devolução de Recursos de Convênios e Contratos de Financiamento - EMATERCE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","20","122","01 - FISCAL",AGRICULTURA,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO CEARÁ,ADMINISTRAÇÃO GERAL,"21200001"
86838,"00042","212",Pagamento de Sentenças / Débitos Judiciais - EMATERCE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","20","122","01 - FISCAL",AGRICULTURA,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO CEARÁ,ADMINISTRAÇÃO GERAL,"21200001"
86839,"00043","212",Devolução de Recursos de Convênios e Contratos de Financiamento - FUNDES.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,FUNDO ESTADUAL DE SAÚDE,ADMINISTRAÇÃO GERAL,"24200004"
86840,"00044","212",Pagamento de Sentenças / Débitos Judiciais - FUNDES.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,FUNDO ESTADUAL DE SAÚDE,ADMINISTRAÇÃO GERAL,"24200004"
94413,"11940","169",Capacitação dos Profissionais que Atuam nos Programas de Proteção a Pessoas.,2024-06-13 14:05:36.211,2024-07-12 10:54:45.812,2024,"01","14","422","01 - FISCAL",DIREITOS DA CIDADANIA,SECRETARIA DOS DIREITOS HUMANOS,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","63000000"
86841,"00045","212",Pagamento de Indenizações e Restituições Referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - FUNDES.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,FUNDO ESTADUAL DE SAÚDE,ADMINISTRAÇÃO GERAL,"24200004"
86842,"00047","212",Devolução de Recursos de Convênios e Contratos de Financiamento - SETUR.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","23","695","01 - FISCAL",COMÉRCIO E SERVIÇOS,SECRETARIA DO TURISMO,TURISMO,"36000000"
86843,"00048","212",Pagamento de Indenizações e Restituições referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - SETUR.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","23","695","01 - FISCAL",COMÉRCIO E SERVIÇOS,SECRETARIA DO TURISMO,TURISMO,"36000000"
86844,"00049","212",Devolução de Recursos de Convênios e Contratos de Financiamento - SEMACE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,SUPERINTENDÊNCIA ESTADUAL DO MEIO AMBIENTE,ADMINISTRAÇÃO GERAL,"57200001"
86845,"00050","212",Pagamento de Sentenças / Débitos Judiciais - SEMACE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,SUPERINTENDÊNCIA ESTADUAL DO MEIO AMBIENTE,ADMINISTRAÇÃO GERAL,"57200001"
86846,"00052","212",Aporte de Capital para a COGERH.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","544","01 - FISCAL",GESTÃO AMBIENTAL,SECRETARIA DOS RECURSOS HÍDRICOS,RECURSOS HÍDRICOS,"29000000"
86847,"00055","212",Pagamento de Concessão de Pasep - SEMACE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,SUPERINTENDÊNCIA ESTADUAL DO MEIO AMBIENTE,ADMINISTRAÇÃO GERAL,"57200001"
86848,"00056","212",Devolução de Recursos de Convênios e Contratos de Financiamento - SRH.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","544","01 - FISCAL",GESTÃO AMBIENTAL,SECRETARIA DOS RECURSOS HÍDRICOS,RECURSOS HÍDRICOS,"29000000"
86849,"00057","212",Pagamento de Indenizações e Restituições referentes a Bens ou Serviços Entregues Anteriormente ao PPA 2020-2023 - SRH.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","544","01 - FISCAL",GESTÃO AMBIENTAL,SECRETARIA DOS RECURSOS HÍDRICOS,RECURSOS HÍDRICOS,"29000000"
86850,"00058","212",Participação Acionária - ADECE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","11","122","01 - FISCAL",TRABALHO,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO,ADMINISTRAÇÃO GERAL,"56000000"
86851,"00060","212",Pagamento de Concessão do Pasep - SOHIDRA.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,SUPERINTENDÊNCIA DE OBRAS HIDRÁULICAS,ADMINISTRAÇÃO GERAL,"29200001"
86852,"00062","212",Pagamento de Concessão do Pasep - EGE.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86853,"00065","212",Aporte para Implantação da Fundação Regional de Saúde - FUNSAÚDE,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,FUNDO ESTADUAL DE SAÚDE,ADMINISTRAÇÃO GERAL,"24200004"
86854,"00067","212",Repasse de Auxílio Emergencial para os Trabalhadores de Bares e Restaurantes.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","23","695","01 - FISCAL",COMÉRCIO E SERVIÇOS,SECRETARIA DO TURISMO,TURISMO,"36000000"
86855,"00070","212",Reforço às Dotações Orçamentárias dos Órgãos e Entidades para o Atendimento das Emendas de Caráter Geral.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86856,"00072","212",Reforço às Dotações Orçamentárias dos Órgãos e Entidades para o Atendimento das Emendas Relativas ao Programa de Cooperação Federativa - PCF.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86857,"00073","212",Repasse Financeiro ao Fundo Previdenciário - PREVID.,2024-01-02 14:07:30.133,2024-01-02 14:07:30.133,2023,"01","28","846","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,OUTROS ENCARGOS ESPECIAIS,"40000000"
86858,"00075","212",Apoio as Atividades Voltadas a Promoção da Vacinação no Centro de Eventos.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","23","695","01 - FISCAL",COMÉRCIO E SERVIÇOS,SECRETARIA DO TURISMO,TURISMO,"36000000"
86859,"00076","212",Refinanciamento da Dívida Interna,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","28","841","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,REFINANCIAMENTO DA DÍVIDA INTERNA,"40000000"
86860,"00077","212",Refinanciamento da Dívida Externa,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","28","842","01 - FISCAL",ENCARGOS ESPECIAIS,ENCARGOS GERAIS DO ESTADO,REFINANCIAMENTO DA DÍVIDA EXTERNA,"40000000"
86861,"00078","212",Reforço de Dotação para Atualização do Custeio do Estado,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,ENCARGOS GERAIS DO ESTADO,ADMINISTRAÇÃO GERAL,"40000000"
86862,"00079","212",Subsídios à concessionários e permissionários de transporte de passageiros no Estado do Ceará,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","26","782","01 - FISCAL",TRANSPORTE,AGÊNCIA REGULADORA DE SERVIÇOS PÚBLICOS DELEGADOS DO ESTADO DO CEARÁ,TRANSPORTE RODOVIÁRIO,"13200001"
86863,"10001","211",Implantação de Nova Sede Administrativa da Instituição - PGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","03","122","01 - FISCAL",ESSENCIAL À JUSTIÇA,PROCURADORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"13000000"
86864,"10002","211",Aquisição e Instalação de Material Permanente - PGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","03","122","01 - FISCAL",ESSENCIAL À JUSTIÇA,PROCURADORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"13000000"
86865,"10003","211",Aquisição e Instalação de Material Permanente - CGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"41000000"
86866,"10004","211",Aquisição e Instalação de Material Permanente - IPECE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,INSTITUTO DE PESQUISA E ESTRATÉGIA ECONÔMICA DO CEARÁ,ADMINISTRAÇÃO GERAL,"46200003"
86867,"10005","211",Aquisição e Instalação de Material Permanente - SEINFRA.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DA INFRAESTRUTURA,ADMINISTRAÇÃO GERAL,"08000000"
86868,"10006","211",Capacitação de Servidores para o Desenvolvimento das Atividades Administrativas - PGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","03","128","01 - FISCAL",ESSENCIAL À JUSTIÇA,PROCURADORIA GERAL DO ESTADO,FORMAÇÃO DE RECURSOS HUMANOS,"13000000"
86869,"10007","211",Realização de Atividades de Desenvolvimento Institucional - PGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","03","122","01 - FISCAL",ESSENCIAL À JUSTIÇA,PROCURADORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"13000000"
86870,"10008","211",Implantação de Nova Sede Administrativa das Instituições - Sema e Semace.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,SUPERINTENDÊNCIA ESTADUAL DO MEIO AMBIENTE,ADMINISTRAÇÃO GERAL,"57200001"
86871,"10009","211",Aquisição e Instalação de Material Permanente - SAP.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","06","122","01 - FISCAL",SEGURANÇA PÚBLICA,SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA E RESSOCIALIZAÇÃO,ADMINISTRAÇÃO GERAL,"18000000"
86872,"10010","211",Aquisição e Instalação de Material Permanente - FUNPECE PG.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","03","122","01 - FISCAL",ESSENCIAL À JUSTIÇA,FUNDO DE MODERNIZAÇÃO E REAPARELHAMENTO DA PROCURADORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"13200002"
86873,"10011","211",Aquisição e Instalação de Material Permanente - EGP,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DO PLANEJAMENTO E GESTÃO,ADMINISTRAÇÃO GERAL,"46100003"
86874,"10012","211",Aquisição e Instalação de Material Permanente - SCIDADES.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","15","122","01 - FISCAL",URBANISMO,SECRETARIA DAS CIDADES,ADMINISTRAÇÃO GERAL,"43000000"
86875,"10013","211",Capacitação de Servidores para o Desenvolvimento das Atividades Administrativas - CGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","128","01 - FISCAL",ADMINISTRAÇÃO,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,FORMAÇÃO DE RECURSOS HUMANOS,"41000000"
86876,"10014","211",Realização de Atividades de Desenvolvimento Institucional - CGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"41000000"
86877,"10015","211",Aquisição e Instalação de Material Permanente - DETRAN.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","26","122","01 - FISCAL",TRANSPORTE,DEPARTAMENTO ESTADUAL DE TRÂNSITO,ADMINISTRAÇÃO GERAL,"08200003"
86878,"10016","211",Aquisição e Instalação de Material Permanente - SEDUC.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","12","122","01 - FISCAL",EDUCAÇÃO,SECRETARIA DA EDUCAÇÃO,ADMINISTRAÇÃO GERAL,"22000000"
86879,"10017","211",Aquisição e Instalação de Material Permanente - CGD.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","06","122","01 - FISCAL",SEGURANÇA PÚBLICA,CONTROLADORIA GERAL DE DISCIPLINA DOS ORGÃOS DE SEGURANÇA PÚBLICA E SISTEMA PENITENCIÁRIO,ADMINISTRAÇÃO GERAL,"53000000"
86880,"10018","211",Aquisição e Instalação de Material Permanente - DPGE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","14","122","01 - FISCAL",DIREITOS DA CIDADANIA,DEFENSORIA PÚBLICA GERAL DO ESTADO,ADMINISTRAÇÃO GERAL,"06000000"
86881,"10021","211",Aquisição e Instalação de Material Permanente - FUNCEME.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","18","122","01 - FISCAL",GESTÃO AMBIENTAL,FUNDAÇÃO CEARENSE DE METEOROLOGIA E RECURSOS HÍDRICOS,ADMINISTRAÇÃO GERAL,"29200007"
86882,"10022","211",Aquisição e Instalação de Material Permanente - ETICE.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,EMPRESA DE TECNOLOGIA DA INFORMAÇÃO DO CEARÁ,ADMINISTRAÇÃO GERAL,"46200002"
86883,"10023","211",Aquisição e Instalação de Material Permanente - CEGÁS.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"03","25","753","03 - INVESTIMENTOS ESTATAIS",ENERGIA,COMPANHIA DE GÁS DO CEARÁ,COMBUSTÍVEIS MINERAIS,"08200005"
86884,"10024","211",Aquisição e Instalação de Material Permanente - ESP.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,ESCOLA DE SAÚDE PÚBLICA,ADMINISTRAÇÃO GERAL,"24200003"
86885,"10025","211",Capacitação de Servidores para o Desenvolvimento das Atividades Administrativas - SEINFRA.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","128","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DA INFRAESTRUTURA,FORMAÇÃO DE RECURSOS HUMANOS,"08000000"
86886,"10026","211",Realização de Atividades de Desenvolvimento Institucional - SEINFRA.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","04","122","01 - FISCAL",ADMINISTRAÇÃO,SECRETARIA DA INFRAESTRUTURA,ADMINISTRAÇÃO GERAL,"08000000"
86887,"10027","341",Construção de Edificações Públicas Administrativas.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","15","451","01 - FISCAL",URBANISMO,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,INFRA-ESTRUTURA URBANA,"43200007"
86888,"10028","341",Estruturação de Edificações Públicas Administrativas.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","15","451","01 - FISCAL",URBANISMO,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,INFRA-ESTRUTURA URBANA,"43200007"
86889,"10029","342",Restauração de Rodovia Turística.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","23","695","01 - FISCAL",COMÉRCIO E SERVIÇOS,SECRETARIA DO TURISMO,TURISMO,"36000000"
86890,"10031","621",Realização de Ligação ao Sistema de Abastecimento de Água em Comunidades de Baixa Renda - FESB.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","17","512","01 - FISCAL",SANEAMENTO,FUNDO ESTADUAL DE SANEAMENTO BÁSICO,SANEAMENTO BÁSICO URBANO,"43200008"
86891,"10032","341",Construção de Infraestrutura Pública de Convivência Social.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","15","451","01 - FISCAL",URBANISMO,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,INFRA-ESTRUTURA URBANA,"43200007"
86892,"10033","211",Aquisição e Instalação de Material Permanente - SESA.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"02","10","122","02 - SEGURIDADE SOCIAL",SAÚDE,FUNDO ESTADUAL DE SAÚDE,ADMINISTRAÇÃO GERAL,"24200004"
86893,"10034","211",Aquisição e Instalação de Material Permanente - SOP.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","26","122","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,ADMINISTRAÇÃO GERAL,"43200007"
86894,"10035","211",Aquisição e Instalação de Material Permanente - METROFOR.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"03","26","122","03 - INVESTIMENTOS ESTATAIS",TRANSPORTE,COMPANHIA CEARENSE DE TRANSPORTES METROPOLITANOS,ADMINISTRAÇÃO GERAL,"08200007"
86895,"10037","211",Capacitação de Servidores para o Desenvolvimento das Atividades Administrativas - SAP.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","06","128","01 - FISCAL",SEGURANÇA PÚBLICA,SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA E RESSOCIALIZAÇÃO,FORMAÇÃO DE RECURSOS HUMANOS,"18000000"
86896,"10038","211",Realização de Atividades de Desenvolvimento Institucional - SAP.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","06","122","01 - FISCAL",SEGURANÇA PÚBLICA,SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA E RESSOCIALIZAÇÃO,ADMINISTRAÇÃO GERAL,"18000000"
86897,"10039","342",Manutenção e Operacionalização da Gestão Rodoviária.,2024-01-02 14:07:30.143,2024-01-02 14:07:30.143,2023,"01","26","782","01 - FISCAL",TRANSPORTE,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,TRANSPORTE RODOVIÁRIO,"43200007"
